texture_name,delimiter_1,x-tile,y-tile,placeholder,x-res,y-res,delimiter_2,actual_num_TGAs
amb_seaweed_03.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_seaweed_04.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_seaweed_05.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_sharkt.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_shipwreck1_07t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_shipwreck1b_07t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_shipwreck1c_07t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_sprucet.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_staffcar_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_starfish01_00t.sst,b'\x00',1,1,b'\x00\x00\x00',32,32,b'\x00',1
amb_starfish3t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_statuehorseman_08t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_statuenike_03t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_steelt.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_stonerest.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_stonet.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_streetlamp2t.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_streetlampt.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_tallgrass.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_tent_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_thistles.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_tiger_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_tumbleweed.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_veggie_01t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_violets2.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_violets.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
amb_walrus_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_waterplantst.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_waypoint_00.sst,b'\x00',1,1,b'\x00\x00\x00',16,16,b'\x00',1
amb_whitewolf_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
amb_wintersprucet.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
amb_wolf_00.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
areaeffect.sst,b'\x00',1,1,b'\x00\x00\x00',8,8,b'\x00',1
asphalt_1_1.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
asphalt_1_2.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
asphalt_1_3.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
asphalt_1_4.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
base_1.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
base.sst,b'\x00',1,1,b'\x00\x00\x00',64,64,b'\x00',1
bcrackedmud_1_1.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
bcrackedmud_1_2.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
bcrackedmud_1_3.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
bcrackedmud_1_4.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
bld_advmechfac_14t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_airfield_10t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_airfield_12t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_archery_03t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_archery_05t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_archery_07t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_asianhouse_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_asianpagoda_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_atomicwallsets_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_barrack_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_barracks_01t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_barracks_03t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_barracks_05t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_barracks_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_barracks_08t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_barracks_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_barracks_12t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_bluemosque_04t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_brbwire_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_bronzewallsets_04t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_buckinghampalace_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_buckinghamwng_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_buckinghamwng2_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_colosseum_05t.sst,b'\x00',1,3,b'\x00\x00\x00',256,256,b'\x00',3
bld_computers_00t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
bld_dock_02t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_dock_04t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_dock_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_dock_08t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_dock_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_dock_14t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_eiffeltower_09t.sst,b'\x00',1,3,b'\x00\x00\x00',256,256,b'\x00',3
bld_farm1_03.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_fortress_03t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_fortress_04t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_fortress_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_fortress_08t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_fortress_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_fortress_12t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_gates_02t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_gates_04t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_gates_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_gates_08t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_gates_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_goldenbuddah_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_granary_03t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_granary_04t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_granary_06t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_granary_08t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_granary_11t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
bld_hospital_03t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_hospital_04t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_hospital_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_hospital_09t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_hospital_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_hospital_11t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_house_01t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_house_02t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_house_03t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_house_04t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_house_05t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_house_06t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_house_07t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_house_08t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_house_09t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_house_10t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
bld_house_11t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',1
bld_house_12t.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
bld_imperialwallsets_08t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_ishtargate_03t.sst,b'\x00',1,3,b'\x00\x00\x00',256,256,b'\x00',3
bld_library_03t.sst,b'\x00',1,3,b'\x00\x00\x00',256,256,b'\x00',3
bld_lighthouse_04t.sst,b'\x00',1,4,b'\x00\x00\x00',256,256,b'\x00',4
bld_lighthouse_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_mechfactory_11t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_middlewallsets_06t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_minet.sst,b'\x00',1,1,b'\x00\x00\x00',128,128,b'\x00',1
bld_missilebase_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_missilebase_12t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_mosque_04t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_nanowallsets_14t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_naval_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_navalyard_14t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_orthodoxchurch_06t.sst,b'\x00',1,2,b'\x00\x00\x00',256,256,b'\x00',2
bld_pillbox_10t.sst,b'\x00',1,2,b'\x00\x00\x00',128,128,b'\x00',2
bld_radardish_10t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_scaffolding03t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_scaffolding09t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_scaffolding11t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
bld_settlement_01t.sst,b'\x00',1,1,b'\x00\x00\x00',256,256,b'\x00',1
